  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   3   27    0     260.54        -     113.30     442
   3   27    1   37591.28        -    1464.95    1005
   3   27    2    2081.34        -     120.24     919
   3   27    3    2967.35        -     139.64     935
   3   27    4    3964.68        -     192.81     868
   3   27    5    2298.25        -     123.42     876
   3   27    6    5483.82        -     226.77     927
   3   27    7    4861.32        -     202.50     919
   3   27    8   24713.08        -     955.69     975
   3   27    9   10081.51        -     390.34     886
   3   27   10   17801.17        -     670.26     869
   3   27   11     322.55        -      72.30     811
   3   27   12    1711.14        -      86.86     837
   3   27   13   15136.61        -     637.88     789
   3   27   14    3905.14        -     202.80     733
   3   27   15    2021.99        -      92.23     732
   3   27   16     581.81        -      51.65     692
   3   27   17    1932.38        -      96.54     673
   3   27   18     738.78        -      59.14     652
   3   27   19    2966.18        -     135.22     635
   3   27   20     293.47        -      41.39     651
   3   27   21    1116.86        -      60.04     666
   3   27   22    2618.41        -     107.67     668
   3   27   23     661.64        -      57.20     633
   3   27   24     328.78        -      33.87     632
   3   27   25    1643.10        -      78.37     614
   3   27   26    1184.21        -      60.67     611
   3   27   27     358.51        -      30.87     592
   3   27   28     603.55        -      36.59     572
   3   27   29     684.31        -      40.26     586
   3   27   30     383.21        -      28.55     519
   3   27   31     311.34        -      25.73     565
   3   27   32     343.90        -      24.01     528
   3   27   33     195.95        -      17.47     537
   3   27   34     130.63        -      15.91     503
   3   27   35     129.03        -      13.71     526
   3   27   36      94.37        -      13.49     510
   3   27   37      29.22        -      10.59     488
   3   27   38      37.87        -      10.31     429
   3   27   39      24.30        -       8.98     420
   3   27   40      11.87        -       7.56     416
   3   27   41      -7.47        -       6.74     418
   3   27   42      18.97        -       7.76     352
   3   27   43      18.97        -       7.80     259
   3   27   44      74.34        -      16.24     212
   3   27   45      -7.02        -       7.69     146
   3   27   46       4.78        -       8.56     116
   3   27   47      16.63        -       8.26      91
   3   27   48      55.18        -      14.70      85
   3   27   49      10.62        -       7.69      66
   3   27   50      -4.61        -       6.98      55
   3   27   51      -1.63        -       6.55      33
   3   27   52      21.18        -      11.54      22
   3   27   53      -7.96        -       5.26      11
   3   27   54      -0.32        -       0.10       2
   3   28    0   24447.10        -    1261.99     487
   3   28    1   12041.29        -     469.18     979
   3   28    2   15249.54        -     659.64     926
   3   28    3   21744.26        -     863.25     939
   3   28    4     354.04        -      60.19     920
   3   28    5    4539.44        -     217.21     863
   3   28    6    9081.96        -     358.96     900
   3   28    7    7247.28        -     294.21     859
   3   28    8    1052.37        -      74.27     795
   3   28    9     643.54        -      65.58     899
   3   28   10     606.98        -      69.68     756
   3   28   11    6154.23        -     278.26     742
   3   28   12     816.35        -      76.20     717
   3   28   13     529.44        -      79.11     751
   3   28   14     254.38        -      50.13     719
   3   28   15     339.18        -      43.84     719
   3   28   16    1778.77        -      86.11     665
   3   28   17    3564.74        -     165.27     681
   3   28   18     251.11        -      52.58     625
   3   28   19    3813.68        -     168.37     713
   3   28   20    3208.93        -     158.88     677
   3   28   21   11400.93        -     497.71     710
   3   28   22    1019.65        -      51.11     691
   3   28   23    2974.94        -     130.43     640
   3   28   24     -18.23        -      25.13     630
   3   28   25     244.27        -      27.19     607
   3   28   26     121.47        -      22.88     607
   3   28   27     449.59        -      31.55     564
   3   28   28      31.51        -      18.34     596
   3   28   29     270.06        -      23.03     568
   3   28   30     146.19        -      18.52     543
   3   28   31     451.90        -      30.50     556
   3   28   32     444.41        -      27.25     571
   3   28   33      77.56        -      14.90     498
   3   28   34     145.76        -      15.75     535
   3   28   35      14.30        -      10.36     487
   3   28   36       6.05        -      10.42     484
   3   28   37      62.90        -      10.50     487
   3   28   38      23.96        -       9.15     463
   3   28   39      25.49        -       8.55     434
   3   28   40       0.40        -       7.57     398
   3   28   41      24.70        -       7.45     362
   3   28   42      11.55        -       6.61     287
   3   28   43      78.09        -      14.67     234
   3   28   44      11.50        -       8.13     161
   3   28   45      24.11        -      11.70     109
   3   28   46       1.84        -       7.28      99
   3   28   47      47.72        -      14.80      61
   3   28   48      29.40        -      12.25      59
   3   28   49       5.80        -       7.25      37
   3   28   50       7.91        -       7.44      35
   3   28   51       0.72        -       7.98      18
   3   28   52      -2.07        -       8.44      13
   3   28   53      -1.05        -       4.11       3
   3   29    0   19378.75        -    1105.46     457
   3   29    1    2957.27        -     199.59     820
   3   29    2    6818.17        -     269.40     832
   3   29    3   10863.09        -     457.76     806
   3   29    4     112.21        -      63.05     813
   3   29    5    3984.95        -     179.06     882
   3   29    6    3847.64        -     174.77     836
   3   29    7    6201.11        -     257.22     806
   3   29    8    2746.15        -     128.27     813
   3   29    9    1181.42        -      71.76     821
   3   29   10    1106.82        -      65.36     781
   3   29   11     711.70        -      58.49     725
   3   29   12     552.80        -      48.40     702
   3   29   13    1080.29        -      68.85     698
   3   29   14     136.59        -      46.67     678
   3   29   15    4706.74        -     217.73     680
   3   29   16    2280.05        -     107.64     699
   3   29   17    2000.86        -      94.64     638
   3   29   18    1691.11        -      81.01     690
   3   29   19    1300.23        -      64.35     669
   3   29   20    1722.75        -      93.20     702
   3   29   21    1442.58        -      72.20     609
   3   29   22      79.93        -      27.73     660
   3   29   23    3144.79        -     131.82     645
   3   29   24     618.18        -      39.28     586
   3   29   25    1357.88        -      71.30     571
   3   29   26     -19.08        -      21.27     572
   3   29   27     117.61        -      21.38     603
   3   29   28     153.54        -      19.04     565
   3   29   29      35.34        -      15.63     577
   3   29   30      22.18        -      15.32     576
   3   29   31      32.18        -      15.49     523
   3   29   32      18.12        -      12.33     555
   3   29   33     273.15        -      22.57     502
   3   29   34      85.53        -      12.99     535
   3   29   35      91.98        -      11.83     476
   3   29   36     455.93        -      35.50     483
   3   29   37      32.11        -       9.35     474
   3   29   38      73.52        -      11.30     501
   3   29   39      23.59        -       8.35     402
   3   29   40      12.76        -       8.76     370
   3   29   41       0.57        -       7.39     330
   3   29   42      28.22        -       9.92     256
   3   29   43       7.55        -       6.37     193
   3   29   44      10.90        -       6.97     163
   3   29   45       0.71        -       7.19     109
   3   29   46      18.42        -       8.47      72
   3   29   47       2.44        -       7.17      56
   3   29   48       0.13        -       7.97      48
   3   29   49       9.50        -       7.72      39
   3   29   50       4.88        -       9.17      24
   3   29   51       7.84        -       8.40      13
   3   29   52      -3.78        -       6.28       7
   3   29   53      -5.06        -       0.56       2
   3   30    0   24594.17        -    1414.86     433
   3   30    1    1606.16        -      80.49     773
   3   30    2    3389.14        -     143.79     849
   3   30    3     749.56        -      62.05     802
   3   30    4    1136.19        -      72.46     789
   3   30    5    5963.94        -     253.57     846
   3   30    6    5579.49        -     239.87     795
   3   30    7    8439.58        -     356.67     832
   3   30    8    3981.83        -     173.17     756
   3   30    9     569.05        -      52.28     764
   3   30   10     312.50        -      47.33     764
   3   30   11    2253.41        -     112.39     703
   3   30   12    4698.79        -     207.12     744
   3   30   13    2985.64        -     141.99     666
   3   30   14     250.90        -      43.26     681
   3   30   15    1448.64        -      89.88     697
   3   30   16     367.70        -      38.06     640
   3   30   17    3856.99        -     173.94     703
   3   30   18     477.39        -      37.15     646
   3   30   19    2394.69        -     111.26     673
   3   30   20    1088.75        -      62.62     631
   3   30   21    1487.34        -      75.04     625
   3   30   22    2008.80        -      97.26     611
   3   30   23    1102.64        -      54.28     638
   3   30   24     730.64        -      43.71     567
   3   30   25    1251.28        -      63.41     589
   3   30   26      71.77        -      19.28     584
   3   30   27      24.97        -      18.66     553
   3   30   28      86.09        -      17.91     540
   3   30   29     704.59        -      43.08     536
   3   30   30     285.61        -      25.13     502
   3   30   31     815.37        -      50.25     513
   3   30   32     117.80        -      14.38     550
   3   30   33     258.00        -      19.98     534
   3   30   34     306.24        -      23.87     493
   3   30   35      82.72        -      10.80     483
   3   30   36      52.23        -       9.28     471
   3   30   37     107.61        -      13.03     454
   3   30   38       8.78        -       8.75     412
   3   30   39       4.84        -       7.85     409
   3   30   40       6.17        -       7.69     329
   3   30   41       4.71        -       6.54     281
   3   30   42       4.91        -       6.69     222
   3   30   43      45.97        -      10.93     168
   3   30   44       3.38        -       7.58     112
   3   30   45      -1.55        -       7.47      81
   3   30   46     -12.28        -       8.30      69
   3   30   47       6.54        -       9.97      50
   3   30   48      -2.77        -       8.10      34
   3   30   49      -1.37        -       6.21      28
   3   30   50      -3.61        -       7.03      20
   3   30   51      -9.92        -       7.24      11
   3   30   52       0.85        -       1.09       2
   3   31    0     450.33        -      71.65     359
   3   31    1    2647.75        -     119.95     775
   3   31    2    4225.55        -     181.62     785
   3   31    3    1175.21        -      87.58     709
   3   31    4    1843.77        -      96.35     739
   3   31    5     330.96        -      46.95     740
   3   31    6    6237.79        -     242.46     801
   3   31    7    2946.28        -     130.83     723
   3   31    8    1839.17        -      97.58     710
   3   31    9    9011.90        -     359.96     754
   3   31   10     709.13        -      51.70     708
   3   31   11    5233.36        -     221.39     711
   3   31   12    6748.19        -     292.79     680
   3   31   13     601.29        -      44.99     699
   3   31   14     130.17        -      33.47     639
   3   31   15    2793.73        -     134.43     688
   3   31   16     108.75        -      35.30     685
   3   31   17     450.59        -      34.55     674
   3   31   18    2555.59        -     116.66     668
   3   31   19    2194.28        -     108.13     627
   3   31   20     431.48        -      33.64     650
   3   31   21     325.95        -      33.22     606
   3   31   22     271.94        -      26.68     609
   3   31   23     204.19        -      22.64     608
   3   31   24     407.00        -      29.56     576
   3   31   25     336.97        -      26.11     584
   3   31   26     388.48        -      27.50     566
   3   31   27     495.36        -      33.32     542
   3   31   28     129.35        -      17.51     573
   3   31   29     216.92        -      20.54     527
   3   31   30     104.97        -      14.99     507
   3   31   31     238.91        -      22.96     513
   3   31   32     409.84        -      30.56     513
   3   31   33      58.17        -      12.15     495
   3   31   34     -16.55        -       9.47     500
   3   31   35      37.87        -       9.80     495
   3   31   36       2.64        -       8.30     447
   3   31   37      -4.95        -       7.84     420
   3   31   38      30.81        -       8.40     424
   3   31   39       1.00        -       8.20     360
   3   31   40      22.00        -       8.47     279
   3   31   41      10.60        -       6.77     236
   3   31   42      24.49        -       8.03     164
   3   31   43      24.39        -       9.10     113
   3   31   44      -2.92        -       6.76      75
   3   31   45      15.27        -       8.27      66
   3   31   46      13.17        -       8.00      72
   3   31   47     -10.61        -       8.48      45
   3   31   48     -12.22        -       6.17      37
   3   31   49      -6.74        -       5.52      24
   3   31   50      -5.40        -       9.88      11
   3   31   51      -1.62        -       2.79       9
   3   31   52       2.47        -       0.92       3
   3   32    0     321.56        -      60.28     377
   3   32    1    5016.62        -     204.20     707
   3   32    2   10128.15        -     400.59     797
   3   32    3    2339.22        -     102.60     728
   3   32    4     861.39        -      62.06     705
   3   32    5     907.71        -      57.91     667
   3   32    6    2065.87        -      92.50     721
   3   32    7     632.15        -      56.35     731
   3   32    8   10378.78        -     460.58     730
   3   32    9    1263.79        -      68.39     699
   3   32   10     703.04        -      47.06     704
   3   32   11    1039.51        -      61.67     695
   3   32   12     490.45        -      40.59     688
   3   32   13     683.84        -      46.35     666
   3   32   14    1167.86        -      59.15     641
   3   32   15     772.98        -      47.10     603
   3   32   16    1490.07        -      77.32     669
   3   32   17    1412.72        -      67.41     681
   3   32   18     323.35        -      33.43     623
   3   32   19     643.45        -      40.45     657
   3   32   20     279.76        -      24.58     662
   3   32   21     173.48        -      25.61     606
   3   32   22      10.75        -      19.47     602
   3   32   23     645.78        -      41.72     562
   3   32   24     143.81        -      22.01     565
   3   32   25     172.16        -      19.15     575
   3   32   26     931.26        -      48.73     570
   3   32   27      -3.81        -      15.94     516
   3   32   28     292.48        -      23.74     555
   3   32   29     156.12        -      16.21     487
   3   32   30     523.57        -      37.90     478
   3   32   31      31.17        -      11.79     485
   3   32   32      81.56        -      12.59     480
   3   32   33      46.05        -      10.58     450
   3   32   34      61.98        -      11.14     451
   3   32   35      36.83        -      10.12     434
   3   32   36      40.60        -       8.91     389
   3   32   37      90.02        -      12.13     418
   3   32   38       4.43        -       6.99     379
   3   32   39      24.47        -       7.52     319
   3   32   40      35.68        -       7.86     229
   3   32   41      38.92        -       8.76     187
   3   32   42       6.55        -       7.28     137
   3   32   43       3.79        -       7.09      94
   3   32   44       6.63        -       6.25      95
   3   32   45      16.35        -      10.22      72
   3   32   46      11.35        -       7.89      54
   3   32   47      -4.79        -      15.53      18
   3   32   48      12.32        -       9.52      21
   3   32   49     -15.99        -       8.27      12
   3   32   50       7.25        -       7.09      10
   3   32   51       0.20        -       1.29       2
   3   33    0    1355.13        -     108.84     356
   3   33    1    3020.71        -     138.24     715
   3   33    2    1758.50        -      90.92     711
   3   33    3    1532.73        -      76.72     730
   3   33    4    4909.49        -     205.55     698
   3   33    5     833.33        -      52.76     734
   3   33    6     905.01        -      55.41     677
   3   33    7    2551.02        -     117.34     750
   3   33    8    4067.37        -     162.65     722
   3   33    9     384.42        -      37.85     692
   3   33   10    2123.21        -      97.92     731
   3   33   11    4333.27        -     211.07     739
   3   33   12    3523.35        -     152.96     664
   3   33   13    1112.52        -      62.80     617
   3   33   14     114.78        -      29.60     630
   3   33   15     126.84        -      27.00     648
   3   33   16     301.75        -      32.19     615
   3   33   17     147.23        -      25.23     633
   3   33   18    2860.53        -     130.31     625
   3   33   19     809.45        -      42.79     629
   3   33   20    1546.02        -      71.97     655
   3   33   21     674.28        -      38.34     595
   3   33   22    1086.64        -      58.87     620
   3   33   23     838.15        -      50.18     581
   3   33   24     199.78        -      20.29     548
   3   33   25     161.49        -      17.01     575
   3   33   26     106.35        -      15.87     580
   3   33   27     315.15        -      23.72     532
   3   33   28      21.06        -      13.77     503
   3   33   29      33.70        -      11.56     484
   3   33   30     172.64        -      17.06     518
   3   33   31      36.81        -      10.93     489
   3   33   32       0.03        -       9.95     440
   3   33   33     133.11        -      14.74     460
   3   33   34       4.45        -       8.66     471
   3   33   35      97.85        -      14.23     427
   3   33   36      36.70        -      10.29     403
   3   33   37      34.75        -       8.78     333
   3   33   38      29.21        -       7.72     312
   3   33   39      -8.81        -       7.24     238
   3   33   40      18.40        -       7.07     189
   3   33   41      35.36        -       9.27     144
   3   33   42      64.01        -      17.09     119
   3   33   43      22.41        -       8.59      85
   3   33   44      -3.70        -       5.90      78
   3   33   45      16.94        -       9.19      58
   3   33   46      17.98        -       9.37      39
   3   33   47       1.98        -       8.62      35
   3   33   48      13.38        -       7.44      15
   3   33   49       7.00        -      10.32       8
   3   33   50       8.69        -       6.61       3
   3   34    0      75.96        -      70.50     326
   3   34    1     733.94        -      55.73     681
   3   34    2     365.79        -      36.00     675
   3   34    3    1254.13        -      64.51     718
   3   34    4     619.00        -      44.08     628
   3   34    5      31.55        -      31.37     679
   3   34    6     460.96        -      42.19     636
   3   34    7    9229.15        -     394.84     783
   3   34    8     503.34        -      39.68     715
   3   34    9    1065.59        -      57.96     704
   3   34   10     917.97        -      53.57     714
   3   34   11    3539.23        -     168.60     708
   3   34   12     613.29        -      38.10     659
   3   34   13    2707.85        -     116.41     703
   3   34   14     333.42        -      30.27     657
   3   34   15    1653.13        -      82.14     614
   3   34   16      42.65        -      24.00     582
   3   34   17    2644.60        -     120.24     639
   3   34   18     771.25        -      43.19     615
   3   34   19    2397.33        -     117.58     646
   3   34   20     120.13        -      22.29     553
   3   34   21     100.33        -      19.42     604
   3   34   22      79.61        -      17.68     553
   3   34   23     257.89        -      21.40     551
   3   34   24      23.40        -      15.74     552
   3   34   25      85.79        -      16.62     537
   3   34   26     176.28        -      16.83     578
   3   34   27      88.67        -      14.99     468
   3   34   28     117.62        -      15.99     453
   3   34   29      65.31        -      11.28     512
   3   34   30      99.03        -      12.25     493
   3   34   31      26.73        -       9.56     489
   3   34   32     120.35        -      13.67     431
   3   34   33      33.06        -       9.58     436
   3   34   34      -4.90        -       8.03     434
   3   34   35      17.39        -       7.53     406
   3   34   36       5.92        -       7.41     347
   3   34   37      20.30        -       6.55     353
   3   34   38       9.38        -       7.80     241
   3   34   39       4.94        -       6.15     203
   3   34   40      20.66        -       9.37     139
   3   34   41       9.43        -       6.84     107
   3   34   42      -0.84        -       6.74     101
   3   34   43      22.82        -       8.69      81
   3   34   44      -1.54        -       7.61      54
   3   34   45      13.03        -       6.17      55
   3   34   46       6.41        -       5.89      27
   3   34   47       6.26        -       5.50      24
   3   34   48       4.47        -       6.82      15
   3   34   49      -8.09        -       2.91       7
   3   34   50       3.05        -       3.92       3
   3   35    0      87.32        -      39.24     341
   3   35    1     895.61        -      53.32     688
   3   35    2    2694.65        -     127.24     686
   3   35    3    1924.47        -      87.45     689
   3   35    4     135.02        -      29.56     656
   3   35    5     925.59        -      53.24     655
   3   35    6      12.16        -      28.05     659
   3   35    7     539.71        -      40.12     640
   3   35    8     577.71        -      52.48     685
   3   35    9     450.63        -      33.96     705
   3   35   10     504.24        -      34.56     693
   3   35   11    1470.92        -      71.75     686
   3   35   12     575.09        -      38.05     664
   3   35   13     368.07        -      30.73     666
   3   35   14     719.70        -      43.62     634
   3   35   15    1357.53        -      69.94     599
   3   35   16     117.43        -      21.42     635
   3   35   17     572.25        -      36.05     645
   3   35   18     157.11        -      22.34     567
   3   35   19     122.68        -      17.43     638
   3   35   20     782.83        -      45.20     577
   3   35   21      25.03        -      17.46     534
   3   35   22     201.38        -      20.51     528
   3   35   23      95.38        -      16.50     526
   3   35   24     147.30        -      16.51     552
   3   35   25     326.29        -      25.39     495
   3   35   26     401.76        -      25.80     531
   3   35   27      16.28        -      11.50     522
   3   35   28      65.29        -      12.02     501
   3   35   29      59.37        -      11.09     483
   3   35   30     130.02        -      13.64     483
   3   35   31     183.45        -      18.88     473
   3   35   32      -7.28        -       8.09     398
   3   35   33      52.92        -       9.39     462
   3   35   34      17.20        -       7.75     407
   3   35   35      51.60        -      10.45     376
   3   35   36      18.46        -       7.85     314
   3   35   37      -6.45        -       6.45     276
   3   35   38       6.86        -       7.44     222
   3   35   39      16.35        -       7.11     142
   3   35   40      18.22        -       7.35     118
   3   35   41       9.08        -       6.35     101
   3   35   42      13.03        -       8.46      63
   3   35   43      13.13        -       9.74      64
   3   35   44      -4.86        -       5.12      50
   3   35   45       4.08        -       6.84      44
   3   35   46      22.36        -      11.22      22
   3   35   47       8.14        -       7.09      20
   3   35   48      11.10        -       5.53      13
   3   35   49      -3.60        -       3.30       4
   3   36    0    1557.26        -      99.32     341
   3   36    1    3373.95        -     141.78     647
   3   36    2     708.57        -      42.75     634
   3   36    3    1427.51        -      66.93     679
   3   36    4    3570.42        -     156.56     726
   3   36    5    2201.25        -     102.80     655
   3   36    6    2892.40        -     132.27     648
   3   36    7    2735.02        -     121.07     689
   3   36    8    1114.00        -      62.31     676
   3   36    9     751.39        -      44.19     688
   3   36   10     802.91        -      44.86     661
   3   36   11     297.00        -      28.07     637
   3   36   12     108.18        -      21.46     650
   3   36   13    2296.80        -     107.75     645
   3   36   14     335.49        -      34.41     655
   3   36   15     243.29        -      22.36     672
   3   36   16     167.51        -      18.81     603
   3   36   17      74.91        -      18.85     584
   3   36   18     137.73        -      19.57     553
   3   36   19     394.91        -      30.28     538
   3   36   20     741.76        -      44.81     555
   3   36   21    1952.35        -     100.18     605
   3   36   22      90.79        -      14.99     563
   3   36   23     459.12        -      32.98     530
   3   36   24     207.89        -      20.85     494
   3   36   25     103.07        -      15.04     506
   3   36   26     193.70        -      18.26     502
   3   36   27      36.64        -      11.25     522
   3   36   28      71.01        -      11.21     464
   3   36   29      65.89        -      11.45     471
   3   36   30      47.01        -       9.65     420
   3   36   31      42.47        -       8.97     427
   3   36   32      21.75        -       9.27     418
   3   36   33       7.52        -       7.65     455
   3   36   34      42.33        -       8.48     386
   3   36   35      19.32        -       6.69     337
   3   36   36      12.58        -       7.33     274
   3   36   37      35.54        -       9.25     212
   3   36   38      17.35        -       7.47     150
   3   36   39      19.19        -       8.47     110
   3   36   40       9.96        -       6.74     110
   3   36   41       6.03        -       7.03      73
   3   36   42       1.10        -       7.19      53
   3   36   43      20.80        -       9.01      47
   3   36   44       3.13        -       7.87      37
   3   36   45       5.33        -       7.94      25
   3   36   46       4.57        -       8.21      12
   3   36   47      17.29        -      12.62       8
   3   36   48       6.05        -       4.29       4
   3   37    0    1737.26        -     143.58     327
   3   37    1    2008.92        -      98.67     687
   3   37    2    1022.53        -      54.18     645
   3   37    3    1810.32        -      87.56     670
   3   37    4     583.11        -      36.23     641
   3   37    5    4405.97        -     185.42     758
   3   37    6     595.62        -      34.86     645
   3   37    7      -9.88        -      23.92     630
   3   37    8    1399.23        -      68.18     655
   3   37    9     210.07        -      24.73     612
   3   37   10     168.85        -      22.54     601
   3   37   11     727.81        -      41.11     658
   3   37   12     551.66        -      34.14     589
   3   37   13     352.47        -      28.94     592
   3   37   14     687.77        -      40.07     604
   3   37   15      23.96        -      17.70     606
   3   37   16     353.67        -      25.44     627
   3   37   17     266.46        -      23.43     583
   3   37   18     129.33        -      18.47     557
   3   37   19     708.33        -      43.37     578
   3   37   20     349.95        -      24.91     554
   3   37   21     278.28        -      19.73     579
   3   37   22     324.32        -      23.13     549
   3   37   23      75.57        -      14.11     500
   3   37   24      48.65        -      12.60     497
   3   37   25     114.34        -      13.76     471
   3   37   26     300.21        -      23.17     478
   3   37   27       8.27        -      10.55     486
   3   37   28      19.31        -       9.48     457
   3   37   29     105.06        -      13.27     476
   3   37   30     107.52        -      12.38     457
   3   37   31      62.00        -       9.71     450
   3   37   32      58.84        -       8.63     427
   3   37   33      87.06        -      13.09     328
   3   37   34      12.12        -       7.25     297
   3   37   35      -6.50        -       7.09     251
   3   37   36      13.02        -       6.41     216
   3   37   37       7.53        -       8.05     163
   3   37   38      59.01        -      14.34     131
   3   37   39       2.84        -       7.45     109
   3   37   40      29.85        -       9.87      86
   3   37   41       7.95        -       5.85      65
   3   37   42      15.53        -      10.76      47
   3   37   43      12.91        -       7.00      41
   3   37   44      -2.09        -       5.80      30
   3   37   45      17.30        -      11.31      20
   3   37   46       6.72        -      13.73      16
   3   37   47       4.75        -       3.81       6
   3   38    0     207.50        -      30.52     342
   3   38    1    1340.20        -      71.14     623
   3   38    2      52.40        -      22.88     627
   3   38    3     867.02        -      46.50     599
   3   38    4    3120.33        -     142.24     661
   3   38    5     778.27        -      41.02     655
   3   38    6     234.28        -      26.03     591
   3   38    7     683.24        -      41.57     624
   3   38    8     107.36        -      20.84     611
   3   38    9    1069.74        -      59.38     651
   3   38   10     121.19        -      19.52     621
   3   38   11     183.75        -      19.56     626
   3   38   12      35.31        -      18.07     620
   3   38   13     243.15        -      22.31     607
   3   38   14      33.87        -      18.08     582
   3   38   15     129.95        -      16.75     602
   3   38   16      45.38        -      16.15     575
   3   38   17     253.34        -      20.73     579
   3   38   18      40.42        -      14.26     564
   3   38   19     660.23        -      41.36     530
   3   38   20     108.27        -      14.55     520
   3   38   21      57.19        -      11.51     547
   3   38   22     276.88        -      22.47     543
   3   38   23     101.39        -      13.76     506
   3   38   24     124.28        -      13.53     524
   3   38   25      26.60        -      10.14     464
   3   38   26      52.60        -      10.88     446
   3   38   27      99.00        -      12.00     470
   3   38   28     104.90        -      13.56     451
   3   38   29      25.11        -       9.17     403
   3   38   30      97.40        -      11.31     384
   3   38   31      40.67        -       8.00     407
   3   38   32      -6.19        -       6.48     397
   3   38   33      11.38        -       6.58     331
   3   38   34      13.30        -       7.13     268
   3   38   35      -3.75        -       7.66     196
   3   38   36      14.00        -       9.16     160
   3   38   37      -2.11        -       6.75     121
   3   38   38      18.33        -       8.59     113
   3   38   39       0.64        -       6.71      86
   3   38   40      11.73        -       6.82      78
   3   38   41       9.36        -      12.26      45
   3   38   42      22.09        -      12.50      55
   3   38   43      16.12        -      10.13      27
   3   38   44      12.05        -       9.76      19
   3   38   45      -0.49        -       9.34      14
   3   38   46       0.57        -       3.03       4
   3   38   47       7.87        -       5.97       3
   3   39    0    1037.27        -      78.23     322
   3   39    1     380.85        -      27.08     620
   3   39    2     188.99        -      22.60     596
   3   39    3      37.98        -      18.66     602
   3   39    4    1318.38        -      65.48     604
   3   39    5    2086.60        -     105.27     605
   3   39    6     607.26        -      36.70     597
   3   39    7     277.12        -      24.47     619
   3   39    8     479.96        -      30.06     599
   3   39    9     468.91        -      32.14     624
   3   39   10      41.18        -      16.87     603
   3   39   11    1594.81        -      85.34     639
   3   39   12     341.19        -      26.25     577
   3   39   13      86.79        -      15.71     606
   3   39   14      59.19        -      15.31     612
   3   39   15      13.32        -      14.84     565
   3   39   16     428.68        -      30.74     559
   3   39   17     179.79        -      20.00     541
   3   39   18      73.07        -      15.18     516
   3   39   19     170.30        -      15.26     513
   3   39   20      67.11        -      12.69     498
   3   39   21       7.03        -      12.58     510
   3   39   22     176.01        -      15.93     539
   3   39   23       7.27        -      10.18     507
   3   39   24     -13.38        -      10.01     493
   3   39   25      72.10        -      11.52     464
   3   39   26      75.14        -      12.54     451
   3   39   27      60.81        -      10.02     434
   3   39   28      37.28        -       8.73     423
   3   39   29      10.72        -       7.84     390
   3   39   30      63.63        -      11.65     379
   3   39   31       9.64        -       6.66     347
   3   39   32      33.28        -       7.68     307
   3   39   33       0.99        -       7.46     223
   3   39   34       6.56        -       7.54     174
   3   39   35      -0.23        -       6.35     177
   3   39   36       6.18        -       6.33     132
   3   39   37       8.01        -       6.68      93
   3   39   38      11.10        -       7.47      80
   3   39   39       3.06        -       7.46      70
   3   39   40      13.12        -       6.01      71
   3   39   41      -6.48        -       7.58      37
   3   39   42       6.74        -       6.62      37
   3   39   43      -9.01        -       7.26      30
   3   39   44      -4.20        -       5.37       9
   3   39   45       6.56        -       9.03       5
   3   40    0     104.15        -      28.69     291
   3   40    1    1068.50        -      57.65     637
   3   40    2      22.01        -      19.40     604
   3   40    3     999.16        -      56.82     591
   3   40    4     235.17        -      21.15     598
   3   40    5     710.95        -      43.14     613
   3   40    6     133.81        -      17.87     628
   3   40    7     717.14        -      39.63     574
   3   40    8     102.68        -      18.05     597
   3   40    9     302.52        -      24.20     571
   3   40   10      34.48        -      17.67     565
   3   40   11     502.65        -      31.09     588
   3   40   12     390.61        -      28.24     545
   3   40   13     531.23        -      34.58     586
   3   40   14      68.53        -      14.11     582
   3   40   15      58.97        -      14.13     557
   3   40   16      36.43        -      13.59     493
   3   40   17     100.04        -      14.61     539
   3   40   18     111.90        -      14.51     531
   3   40   19     454.17        -      31.84     490
   3   40   20      63.11        -      11.56     492
   3   40   21      44.66        -      11.27     494
   3   40   22      17.54        -       9.32     499
   3   40   23     115.98        -      13.45     456
   3   40   24     175.10        -      21.34     468
   3   40   25      28.12        -       9.13     433
   3   40   26      54.27        -       9.86     406
   3   40   27      21.12        -       9.26     403
   3   40   28       0.49        -       7.17     429
   3   40   29     159.83        -      19.31     366
   3   40   30      24.63        -       8.05     324
   3   40   31       3.70        -       6.84     325
   3   40   32      18.82        -       7.03     254
   3   40   33      -2.52        -       7.13     176
   3   40   34      17.92        -       7.27     146
   3   40   35       4.02        -       7.32     127
   3   40   36      14.09        -       7.99      90
   3   40   37      -0.39        -       7.51      85
   3   40   38      14.21        -       6.83      71
   3   40   39       8.85        -       8.03      57
   3   40   40       8.19        -       6.01      37
   3   40   41       5.38        -       8.36      33
   3   40   42     -10.71        -       5.15      20
   3   40   43      -4.99        -       7.72      22
   3   40   44     -10.68        -       6.49       9
   3   40   45      -0.22        -       2.82       2
   3   41    0     674.93        -      56.14     301
   3   41    1      89.55        -      16.77     576
   3   41    2     478.16        -      27.89     612
   3   41    3      48.49        -      16.42     562
   3   41    4    1320.11        -      67.08     613
   3   41    5      70.14        -      16.80     574
   3   41    6     164.06        -      18.75     588
   3   41    7     181.22        -      17.80     579
   3   41    8     139.01        -      17.28     533
   3   41    9      61.18        -      14.53     565
   3   41   10     195.23        -      20.49     538
   3   41   11     -12.31        -      13.12     567
