  CrystFEL reflection list version 2.0                                
  Symmetry: mmm                                                       
   h    k    l          I    phase   sigma(I)   nmeas                 
   0    2   45      28.12        -      16.95     246
   0    2   46      82.58        -      20.63     203
   0    2   47      35.69        -      13.60     265
   0    2   48      45.25        -      13.70     214
   0    2   49      29.07        -      10.74     209
   0    2   50      26.47        -      13.50     165
   0    2   51      11.49        -       8.95     176
   0    2   52     -12.20        -       7.79     120
   0    2   53      -9.04        -      10.92      67
   0    2   54      29.58        -      10.86      44
   0    2   55      -4.27        -       9.56      49
   0    2   56       1.70        -      11.65      19
   0    2   57      -5.30        -      10.55      21
   0    2   58      31.18        -      22.22      11
   0    2   59      -0.88        -       9.07       8
   0    2   60     -15.13        -      14.48       2
   0    3    0    -173.40        -     275.78     687
   0    3    1    8134.11        -    2322.67    1497
   0    3    2   23739.41        -    2150.15    1715
   0    3    3    1539.99        -     447.21    1709
   0    3    4   33166.31        -    2619.76    1615
   0    3    5   31090.88        -    2424.75    1556
   0    3    6   18670.28        -    1437.05    1371
   0    3    7    3403.10        -     355.42    1283
   0    3    8   13785.45        -    1058.90    1104
   0    3    9   11144.37        -     951.49    1019
   0    3   10    4291.81        -     543.40     944
   0    3   11    1719.93        -     359.16     901
   0    3   12   38406.81        -    3318.56     723
   0    3   13  143640.68        -    9857.24     722
   0    3   14   86656.46        -    7404.22     625
   0    3   15     -48.18        -     169.70     610
   0    3   16    7306.29        -     556.09     564
   0    3   17    8495.87        -     640.14     555
   0    3   18     103.20        -     148.68     533
   0    3   19    8819.66        -     573.20     526
   0    3   20   13336.71        -     866.79     509
   0    3   21    2671.28        -     228.20     468
   0    3   22    2417.93        -     360.52     470
   0    3   23   12730.68        -     845.99     517
   0    3   24   18356.23        -    1110.03     449
   0    3   25   35462.65        -    2196.08     414
   0    3   26   13556.71        -     849.65     407
   0    3   27    5627.85        -     355.22     379
   0    3   28   24009.86        -    1338.53     410
   0    3   29   83312.76        -    4308.16     456
   0    3   30   40310.27        -    2318.74     394
   0    3   31     109.62        -      75.58     323
   0    3   32    2099.87        -     131.37     347
   0    3   33     755.49        -      86.03     296
   0    3   34     573.50        -      68.92     319
   0    3   35    4476.74        -     308.02     346
   0    3   36    2231.62        -     159.92     306
   0    3   37     577.91        -      68.65     261
   0    3   38     271.55        -      40.30     273
   0    3   39      20.58        -      29.84     280
   0    3   40     475.81        -      44.29     271
   0    3   41     815.88        -      67.86     255
   0    3   42     457.20        -      44.79     266
   0    3   43       6.87        -      22.64     220
   0    3   44       6.70        -      19.19     216
   0    3   45      53.39        -      19.21     251
   0    3   46      60.05        -      16.71     269
   0    3   47      26.12        -      13.65     241
   0    3   48     134.84        -      21.26     223
   0    3   49      95.58        -      20.73     209
   0    3   50      -9.34        -      10.76     171
   0    3   51       9.30        -      10.85     151
   0    3   52       0.08        -      11.35      90
   0    3   53      -3.19        -      12.06      76
   0    3   54       5.16        -      12.04      53
   0    3   55       3.05        -      10.49      37
   0    3   56      -8.36        -      11.53      29
   0    3   57       4.45        -      12.68      16
   0    3   58      -1.32        -      10.34      13
   0    3   59      32.97        -      23.87       5
   0    3   60       5.11        -       5.90       6
   0    4    0   20803.38        -    2331.93     927
   0    4    1   15128.53        -    1607.18    1860
   0    4    2   75522.23        -    4772.27    1961
   0    4    3     713.06        -     238.77    1689
   0    4    4    4996.31        -     441.16    1551
   0    4    5    7412.07        -     687.61    1414
   0    4    6  111121.82        -    7832.64    1323
   0    4    7   36480.26        -    2799.68    1165
   0    4    8    2488.47        -     261.53    1044
   0    4    9   71910.78        -    4808.83    1026
   0    4   10    3058.60        -     347.78     928
   0    4   11    7036.05        -     607.97     842
   0    4   12   16335.78        -    1226.86     752
   0    4   13   48068.38        -    3793.15     713
   0    4   14   21516.27        -    1638.19     621
   0    4   15    5429.12        -     439.60     608
   0    4   16    7872.88        -     610.26     590
   0    4   17   37827.89        -    2733.62     542
   0    4   18    7342.76        -     543.26     543
   0    4   19    6347.93        -     459.36     482
   0    4   20    1616.10        -     194.77     494
   0    4   21     332.49        -     157.45     494
   0    4   22    8255.49        -     576.18     499
   0    4   23   65467.20        -    3748.11     469
   0    4   24   12261.63        -     752.25     501
   0    4   25   14876.25        -     847.67     469
   0    4   26    1092.15        -     147.55     443
   0    4   27    5012.60        -     355.34     400
   0    4   28   31346.80        -    1776.18     393
   0    4   29   20628.09        -    1132.79     429
   0    4   30    4883.08        -     358.16     344
   0    4   31    5942.05        -     390.50     320
   0    4   32     602.30        -     116.67     322
   0    4   33      57.60        -      60.31     296
   0    4   34     102.37        -      56.89     293
   0    4   35     684.48        -      68.07     277
   0    4   36     294.01        -      49.22     309
   0    4   37      68.83        -      36.08     299
   0    4   38    2034.34        -     148.28     282
   0    4   39     -12.57        -      27.62     298
   0    4   40    1893.80        -     130.87     270
   0    4   41     862.38        -      73.66     251
   0    4   42      15.03        -      23.78     251
   0    4   43      -6.69        -      20.13     237
   0    4   44     268.25        -      30.23     281
   0    4   45      -4.59        -      15.86     258
   0    4   46      23.34        -      15.22     197
   0    4   47      20.80        -      13.72     206
   0    4   48      69.90        -      19.09     200
   0    4   49      -5.23        -      11.26     210
   0    4   50      13.23        -      12.99     168
   0    4   51       4.72        -       9.18     166
   0    4   52     -21.89        -       9.45     114
   0    4   53      14.42        -      12.51      54
   0    4   54      18.45        -       9.70      53
   0    4   55      -8.38        -      12.11      36
   0    4   56      -8.49        -       7.72      40
   0    4   57      15.17        -      16.39      13
   0    4   58      -6.23        -      10.03      12
   0    4   59      -3.72        -       9.76       9
   0    4   60       1.03        -       5.47       3
   0    5    0    -148.22        -     164.08     925
   0    5    1    6439.76        -     608.48    1818
   0    5    2   59347.65        -    4173.52    1724
   0    5    3    8753.30        -     662.45    1642
   0    5    4   39776.83        -    2965.86    1514
   0    5    5   18375.41        -    1460.87    1368
   0    5    6     744.26        -     299.01    1211
   0    5    7   78634.09        -    6196.71    1138
   0    5    8   57669.38        -    4652.30    1050
   0    5    9   30684.15        -    3083.30     961
   0    5   10    2669.89        -     254.86     887
   0    5   11  115870.19        -    7840.42     889
   0    5   12    3170.68        -     547.28     714
   0    5   13   69490.89        -    5552.15     673
   0    5   14    4517.70        -     427.01     618
   0    5   15    3649.10        -     299.78     569
   0    5   16    9005.50        -     666.31     603
   0    5   17    7471.46        -     550.90     522
